k,d,time,accuracy,precision,recall,f1,confusion
4,2,7.029557466506958,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
4,3,12.274966716766356,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
4,4,15.100961685180664,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
4,5,20.61290979385376,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
4,6,31.93401432037353,0.878490266691306,0.7309236947791165,0.0133877671116995,0.0262939285585292,"[[194544    134]
 [ 26825    364]]"
4,7,69.9973692893982,0.8851654369509662,0.7696186574219981,0.0898157343043142,0.1608589684474013,"[[193947    731]
 [ 24747   2442]]"
4,8,198.8216128349304,0.8912907282290742,0.7057640750670241,0.1936444885799404,0.3039048745995555,"[[192483   2195]
 [ 21924   5265]]"
4,9,668.3981544971466,0.8854899556941771,0.5612336012088742,0.3005259479936739,0.3914439015042636,"[[188290   6388]
 [ 19018   8171]]"
5,2,6.723904132843018,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
5,3,11.553000211715698,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
5,4,16.156412601470947,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
5,5,24.175482034683228,0.8779674309383549,0.7456896551724138,0.006362867336055,0.012618066445425,"[[194619     59]
 [ 27016    173]]"
5,6,49.99958682060242,0.8851293793128315,0.7850686307331771,0.0862481150465261,0.1554215270413573,"[[194036    642]
 [ 24844   2345]]"
5,7,157.62062311172485,0.8919127224868953,0.6930669234472797,0.2117768215086983,0.3244217821224329,"[[192128   2550]
 [ 21431   5758]]"
5,8,626.186292886734,0.8803021630075676,0.5176872271353409,0.3401743352090919,0.4105648651647985,"[[186061   8617]
 [ 17940   9249]]"
6,2,8.264966249465942,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
6,3,13.01820945739746,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
6,4,18.69720888137817,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
6,5,31.206260681152344,0.8811540247084966,0.7357840321654222,0.0471146419507889,0.0885585896992741,"[[194218    460]
 [ 25908   1281]]"
6,6,84.10731291770935,0.8913312930719756,0.7378340800247181,0.1756592739710912,0.2837621056384053,"[[192981   1697]
 [ 22413   4776]]"
6,7,360.9844419956207,0.8848904974601901,0.5525210084033614,0.3192099746220898,0.40464368137632,"[[187649   7029]
 [ 18510   8679]]"
7,2,9.941989660263062,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
7,3,14.911371231079102,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
7,4,22.526915550231934,0.8777240418809467,0.8658536585365854,0.0026113501783809,0.005206996443108,"[[194667     11]
 [ 27118     71]]"
